id,http,status,has_next_data,name
1,https://overframe.gg/items/arsenal/1,200,true,Nova
2,https://overframe.gg/items/arsenal/2,200,true,Nova Prime
3,https://overframe.gg/items/arsenal/3,200,true,<ARCHWING> Elytron
4,https://overframe.gg/items/arsenal/4,200,true,<ARCHWING> Odonata Prime
5,https://overframe.gg/items/arsenal/5,200,true,<ARCHWING> Odonata
6,https://overframe.gg/items/arsenal/6,200,true,<ARCHWING> Itzal
7,https://overframe.gg/items/arsenal/7,200,true,<ARCHWING> Amesha
8,https://overframe.gg/items/arsenal/8,200,true,Banshee
9,https://overframe.gg/items/arsenal/9,200,true,Banshee Prime
10,https://overframe.gg/items/arsenal/10,200,true,Octavia
11,https://overframe.gg/items/arsenal/11,200,true,Valkyr
12,https://overframe.gg/items/arsenal/12,200,true,Valkyr Prime
13,https://overframe.gg/items/arsenal/13,200,true,Atlas
14,https://overframe.gg/items/arsenal/14,200,true,Mesa
15,https://overframe.gg/items/arsenal/15,200,true,Chroma
16,https://overframe.gg/items/arsenal/16,200,true,Ember
17,https://overframe.gg/items/arsenal/17,200,true,Ember Prime
18,https://overframe.gg/items/arsenal/18,200,true,Excalibur
19,https://overframe.gg/items/arsenal/19,200,true,Excalibur Prime
20,https://overframe.gg/items/arsenal/20,200,true,Excalibur Umbra
21,https://overframe.gg/items/arsenal/21,200,true,Titania
22,https://overframe.gg/items/arsenal/22,200,true,Frost
23,https://overframe.gg/items/arsenal/23,200,true,Frost Prime
24,https://overframe.gg/items/arsenal/24,200,true,Gara
25,https://overframe.gg/items/arsenal/25,200,true,Mirage
26,https://overframe.gg/items/arsenal/26,200,true,Mirage Prime
27,https://overframe.gg/items/arsenal/27,200,true,Nidus
28,https://overframe.gg/items/arsenal/28,200,true,Nyx
29,https://overframe.gg/items/arsenal/29,200,true,Nyx Prime
30,https://overframe.gg/items/arsenal/30,200,true,Khora
31,https://overframe.gg/items/arsenal/31,200,true,Loki
32,https://overframe.gg/items/arsenal/32,200,true,Loki Prime
33,https://overframe.gg/items/arsenal/33,200,true,Mag
34,https://overframe.gg/items/arsenal/34,200,true,Mag Prime
35,https://overframe.gg/items/arsenal/35,200,true,Limbo Prime
36,https://overframe.gg/items/arsenal/36,200,true,Limbo
37,https://overframe.gg/items/arsenal/37,200,true,Wukong
38,https://overframe.gg/items/arsenal/38,200,true,Nekros
39,https://overframe.gg/items/arsenal/39,200,true,Nekros Prime
40,https://overframe.gg/items/arsenal/40,200,true,Nezha
41,https://overframe.gg/items/arsenal/41,200,true,Ash Prime
42,https://overframe.gg/items/arsenal/42,200,true,Ash
43,https://overframe.gg/items/arsenal/43,200,true,Oberon
44,https://overframe.gg/items/arsenal/44,200,true,Oberon Prime
45,https://overframe.gg/items/arsenal/45,200,true,Hydroid Prime
46,https://overframe.gg/items/arsenal/46,200,true,Hydroid
47,https://overframe.gg/items/arsenal/47,200,true,Harrow
48,https://overframe.gg/items/arsenal/48,200,true,Ivara
49,https://overframe.gg/items/arsenal/49,200,true,Rhino
50,https://overframe.gg/items/arsenal/50,200,true,Rhino Prime
